Driver,Constructor,RaceName,DriverPointsSoFar,ConstructorPointsSoFar
MAG,Haas F1 Team,Singapore Grand Prix,2.0,14.0
MAG,Haas F1 Team,Emilia Romagna Grand Prix,1.0,4.0
MAG,Haas F1 Team,Monaco Grand Prix,1.0,4.0
MAG,Haas F1 Team,Italian Grand Prix,1.0,12.0
MAG,Haas F1 Team,Belgian Grand Prix,1.0,12.0
MAG,Haas F1 Team,British Grand Prix,1.0,4.0
MAG,Haas F1 Team,Spanish Grand Prix,1.0,4.0
MAG,Haas F1 Team,Dutch Grand Prix,1.0,12.0
TSU,RB,Dutch Grand Prix,15.0,20.0
TSU,RB,Canadian Grand Prix,12.0,12.0
TSU,RB,Italian Grand Prix,15.0,20.0
TSU,RB,Azerbaijan Grand Prix,15.0,20.0
TSU,RB,Mexico City Grand Prix,15.0,20.0
TSU,RB,Australian Grand Prix,0.0,0.0
TSU,RB,Saudi Arabian Grand Prix,0.0,0.0
TSU,RB,Las Vegas Grand Prix,15.0,20.0
TSU,RB,Monaco Grand Prix,8.0,8.0
TSU,RB,Emilia Romagna Grand Prix,7.0,7.0
TSU,RB,Japanese Grand Prix,6.0,6.0
TSU,RB,Singapore Grand Prix,15.0,20.0
TSU,RB,Bahrain Grand Prix,0.0,0.0
TSU,RB,Hungarian Grand Prix,13.0,17.0
TSU,RB,British Grand Prix,12.0,16.0
TSU,RB,Belgian Grand Prix,15.0,19.0
TSU,RB,Spanish Grand Prix,12.0,16.0
TSU,RB,Abu Dhabi Grand Prix,17.0,22.0
ALB,Williams,Abu Dhabi Grand Prix,12.0,16.0
ALB,Williams,Bahrain Grand Prix,0.0,0.0
ALB,Williams,British Grand Prix,2.0,2.0
ALB,Williams,Hungarian Grand Prix,4.0,4.0
ALB,Williams,Spanish Grand Prix,2.0,2.0
ALB,Williams,Belgian Grand Prix,4.0,4.0
ALB,Williams,Canadian Grand Prix,2.0,2.0
ALB,Williams,Dutch Grand Prix,4.0,4.0
ALB,Williams,Italian Grand Prix,4.0,4.0
ALB,Williams,Monaco Grand Prix,0.0,0.0
ALB,Williams,Azerbaijan Grand Prix,6.0,6.0
ALB,Williams,Emilia Romagna Grand Prix,0.0,0.0
ALB,Williams,Mexico City Grand Prix,12.0,16.0
ALB,Williams,Australian Grand Prix,0.0,0.0
ALB,Williams,Japanese Grand Prix,0.0,0.0
ALB,Williams,Singapore Grand Prix,12.0,16.0
ALB,Williams,Saudi Arabian Grand Prix,0.0,0.0
ALB,Williams,Las Vegas Grand Prix,12.0,16.0
ZHO,Kick Sauber,Italian Grand Prix,0.0,0.0
ZHO,Kick Sauber,Canadian Grand Prix,0.0,0.0
ZHO,Kick Sauber,Emilia Romagna Grand Prix,0.0,0.0
ZHO,Kick Sauber,Singapore Grand Prix,0.0,0.0
ZHO,Kick Sauber,Monaco Grand Prix,0.0,0.0
