,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
22,4956.056999999938,8812.284842474503,2483.273000000039,4116.792588235253,11183.395330188687,2521.0011428571725,4257.5895000000055,5627.267999999933,2078.6220000000685,4279.747500000069,5518.069499999909,2044.0429999999935,3063.0490000000113,1922.7019999999898,3661.219499999823,3761.8649999999957,5035.59399367348,5510.482499999944,9450.37355454545,4765.686000000069,1208.0120447761192,1818.2660000000037,9928.814773584912,5192.783999999974
23,4956.056999999938,5874.856561649669,4054.303500000028,4116.792588235253,7029.847886792497,3471.2881428571527,4257.5895000000055,5627.267999999933,4080.695999999989,4279.747500000069,5518.069499999909,2076.5870000000095,5322.54450000006,1509.380999999998,3661.219499999823,1960.6769999999847,1412.1070000000204,5510.482499999944,9450.37355454545,4765.686000000069,9005.634838534577,4173.36150000001,14893.222160377369,5192.783999999974
24,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,5980.2380867924585,3150.9171428571963,4257.5895000000055,5627.267999999933,4080.695999999989,4279.747500000069,5518.069499999909,3680.8574999999832,5322.54450000006,3376.4309999999723,3661.219499999823,3761.8649999999957,3357.062662448987,5510.482499999944,9450.37355454545,4765.686000000069,6003.7565590230515,2250.1930000000066,9514.002773584889,5192.783999999974
27,4956.056999999938,3416.508645833328,2702.869000000019,4116.792588235253,5357.8778867924475,3143.161142857177,4257.5895000000055,5627.267999999933,2645.444000000074,2853.1650000000454,2221.885000000001,1537.9390000000144,5322.54450000006,2072.222999999991,3661.219499999823,3761.8649999999957,1999.49820000002,5510.482499999944,5879.826236363672,4765.686000000069,9005.634838534577,1760.1209999999937,14893.222160377369,2256.628000000011
31,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,6869.129886792499,2908.6591428571655,4257.5895000000055,5627.267999999933,2233.8289999999934,2597.1120000000114,2527.2799999999306,3680.8574999999832,5322.54450000006,1303.471,3661.219499999823,3761.8649999999957,5035.59399367348,5510.482499999944,9450.37355454545,4765.686000000069,118.68141791041695,4173.36150000001,14893.222160377369,3149.736823529395
44,1977.5459999999641,2041.8300625000218,4054.303500000028,2535.521352941146,6889.1298867924925,2365.0841428571534,1408.2359999999715,3751.511999999955,877.7740000000125,662.5289999999995,613.0449999999602,0.0,741.5320000000562,0.0,2440.812999999882,798.9470000000229,2289.10216000003,2752.0539999999805,9450.37355454545,1920.4670000000465,2473.4624179104358,639.6359999999979,6167.981500857613,1706.048999999987
55,1008.2569999999205,5033.91965086825,0.0,998.3626274509633,3376.8789979036183,1854.1511428571398,816.322999999991,724.6430000000755,4080.695999999989,1098.711000000081,216.35300000000024,779.6599999999976,1184.852999999988,401.7769999999929,1533.6139999998936,374.7779999999801,5035.59399367348,3673.6549999999625,559.2956111111105,0.0,9005.634838534577,709.6520000000048,8721.801773584932,259.6199999999948
63,1537.2009999999661,1924.2664583333171,4054.303500000028,2744.5283921568353,4810.378068610689,2664.446142857174,1515.106000000008,2581.4609999998056,156.70899999995248,792.1950000000636,0.0,3680.8574999999832,2407.820000000005,105.52200000001176,1605.7879999999407,1641.520999999993,926.4804400000072,2144.687000000038,5779.169618181809,1775.2130000000143,447.041283582062,0.0,8812.531773584953,1305.3810000000399
77,4956.056999999938,8812.284842474503,4054.303500000028,4116.792588235253,11183.395330188687,3620.9141428571584,4257.5895000000055,5627.267999999933,2720.4639999999927,4279.747500000069,5518.069499999909,3680.8574999999832,5322.54450000006,1560.3870000000065,3661.219499999823,3761.8649999999957,5035.59399367348,5510.482499999944,9450.37355454545,4765.686000000069,3510.903701492496,4173.36150000001,7552.492773584953,5192.783999999974
81,1970.4800000000027,1421.55520833337,838.953999999984,2041.6034313725238,4954.900159519765,908.4681071428732,730.0869999999867,312.2969999999691,458.25999999999067,1472.7320000000493,328.29799999993946,452.34500000001526,0.0,112.33699999999482,1018.467999999929,14.878000000015163,0.0,1749.6779999999953,3891.0347636363786,3177.124000000046,1453.4647462686905,1748.495000000001,6849.815523584911,3461.855999999983
